City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,malango,-2.9627,119.9001,19.94,94,100,1.4,ID,1733770393
316,verkhnevilyuysk,63.4453,120.3167,-27.78,98,100,1.33,RU,1733770394
317,alice springs,-23.7,133.8833,22.75,100,100,1.54,AU,1733770395
318,desarmes,18.9917,-72.3889,29.84,63,15,2.28,HT,1733770396
319,fisterra,42.9049,-9.2629,12.56,75,34,7.72,ES,1733770397
320,kotlas,61.2611,46.6556,-8.25,97,77,1.89,RU,1733770398
321,arteche,12.2645,125.4048,25.81,92,100,2.25,PH,1733770399
322,nemuro,43.3236,145.575,-2.13,70,35,10.45,JP,1733770400
323,paracuru,-3.41,-39.0306,28.48,66,98,6.7,BR,1733770402
324,cannonvale,-20.2833,148.7,24.66,77,20,2.08,AU,1733770403
325,galesong,-5.3166,119.3661,26.53,88,100,5.4,ID,1733770404
326,maun,-19.9833,23.4167,30.98,33,0,2.57,BW,1733770405
327,imperatriz,-5.5264,-47.4917,33.03,52,20,2.06,BR,1733770406
328,nizhnesortymskiy,62.4397,71.7603,-12.14,94,99,7.26,RU,1733770407
329,chibougamau,49.9168,-74.3659,-13.21,85,0,2.57,CA,1733770408
330,uruzgan,32.8333,66.0,4.0,26,100,1.06,AF,1733770409
331,charters towers,-20.1,146.2667,22.68,85,1,3.95,AU,1733770410
332,la passe,45.5549,-0.8967,6.17,74,100,6.69,FR,1733770412
333,crikvenica,45.1772,14.6928,8.11,49,75,6.69,HR,1733770413
334,timaru,-44.4,171.25,13.02,44,0,2.16,NZ,1733770414
335,tarana,23.3333,76.0333,12.27,29,0,2.52,IN,1733770415
336,peterhead,57.5058,-1.7981,5.66,74,19,1.6,GB,1733770416
337,colby,39.3958,-101.0524,5.56,44,100,8.49,US,1733770331
338,moratuwa,6.773,79.8816,25.19,83,45,4.14,LK,1733770418
339,misratah,32.3754,15.0925,17.7,46,100,4.75,LY,1733770419
340,manokwari,-0.8667,134.0833,25.47,83,66,0.83,ID,1733770421
341,baki,-7.6128,110.7839,25.47,87,100,4.46,ID,1733770422
342,port augusta,-32.5,137.7667,19.78,59,0,4.33,AU,1733770425
343,punta del este,-34.9667,-54.95,24.06,77,20,6.26,UY,1733770426
344,namtsy,62.7161,129.6658,-26.16,99,100,1.38,RU,1733770427
345,rabo de peixe,37.8,-25.5833,17.77,99,75,3.6,PT,1733770428
346,carutapera,-1.195,-46.02,29.1,66,45,4.27,BR,1733770430
347,la'ie,21.6477,-157.9253,25.06,77,10,1.79,US,1733770431
348,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,80,75,1.0,RU,1733770432
349,copala,16.65,-98.9833,28.96,60,28,3.37,MX,1733770433
350,mananjary,-21.2167,48.3333,25.03,79,10,1.22,MG,1733770434
351,barra de santo antonio,-9.4047,-35.5072,27.46,64,0,4.7,BR,1733770435
352,beberibe,-4.1797,-38.1306,28.21,66,71,5.5,BR,1733770436
353,remire-montjoly,4.9167,-52.2667,30.02,74,75,6.17,GF,1733770437
354,maba,24.6841,113.5984,10.51,78,3,0.35,CN,1733770439
355,altinekin,38.3078,32.8686,8.93,75,100,1.25,TR,1733770440
356,grantsville,40.5999,-112.4644,1.98,63,100,5.36,US,1733770441
357,nelson bay,-32.7167,152.15,21.72,98,93,1.79,AU,1733770442
358,raahe,64.6833,24.4833,1.48,90,100,11.44,FI,1733770443
359,bereznik,62.8551,42.7072,-4.41,95,87,2.64,RU,1733770444
360,arhribs,36.7936,4.3116,7.76,82,100,3.35,DZ,1733770445
361,cangzhou,38.3167,116.8667,-0.92,32,98,1.31,CN,1733770446
362,castro,-24.7911,-50.0119,19.35,97,100,1.51,BR,1733770447
